Total,Sel2_Raw,TwoShr_Raw,Sig_Raw,Sel2_CV,TwoShr_CV,Sig_CV
47050,4021,68,44,4021,68,44
47200,3842,59,41,3830,59,41
47350,3575,62,40,3552,62,40
48400,4203,71,40,4086,69,39
48150,4309,51,22,4211,50,21
47050,3855,61,39,3855,61,39
46200,4026,65,41,4100,66,42
43850,3611,52,31,3875,56,33
45550,3954,77,41,4084,80,42
45700,3856,48,35,3970,49,36
46850,4013,67,43,4030,67,43
47900,4136,91,59,4063,89,58
46850,4231,64,49,4249,64,49
47700,4226,88,52,4168,87,51
48400,4162,79,41,4046,77,40
47400,4154,79,56,4123,78,56
48300,4503,81,63,4386,79,61
